City_names,Years,Asian_num,Asian_per,Latino_num,Latino_per,States,Black_num,A2B,L2B
Cleveland,.5% sample,NA,NA,980,0.111574614,OH,,,
Columbus,1990,14993,2.368899212,6741,1.065080343,OH,142748,0.105031243870317,0.047223078431922
Columbus,.Sample,14457,2.284037803,5968,0.942874567,OH,,,
Columbus,1980,4714,0.834526821,4651,0.823373832,OH,124880,0.037748238308777,0.037243754003844
Columbus,.Sample,5410,0.957749272,5300,0.938275626,OH,,,
Columbus,.15% sample,NA,NA,3334,0.618015122,OH,,,
Columbus,.5% sample,NA,NA,8989,1.664074938,OH,,,
Columbus,1960,671,0.142367329,NA,NA,OH,,,
Dayton,1990,1157,0.635560634,1356,0.744874865,OH,73595,0.015721176710374,0.01842516475304
Dayton,.Sample,1064,0.584474083,1204,0.661378568,OH,,,
Dayton,1980,869,0.427297894,1744,0.857546061,OH,75016,0.011584195371654,0.023248373680282
Dayton,.Sample,839,0.412546528,1765,0.867872017,OH,,,
Dayton,.15% sample,NA,NA,1366,0.561204577,OH,,,
Dayton,.5% sample,NA,NA,3308,1.359051786,OH,,,
Dayton,1960,161,0.061372612,NA,NA,OH,,,
Parma,1990,957,1.089034549,768,0.87395876,OH,639,1.49765258215962,1.2018779342723
Parma,.Sample,990,1.126587464,718,0.817060403,OH,,,
Parma,1980,766,0.82767861,576,0.622379738,OH,364,2.1043956043956,1.58241758241758
Parma,.Sample,891,0.962743657,582,0.62886286,OH,,,
Parma,.15% sample,NA,NA,379,0.378201994,OH,,,
Parma,.5% sample,NA,NA,455,0.454041971,OH,,,
Parma,1960,77,0.092944656,NA,NA,OH,,,
Toledo,1990,3487,1.047326419,13207,3.966745058,OH,65598,0.053157108448428,0.201332357693832
Toledo,.Sample,3543,1.064146115,11958,3.59160577,OH,,,
Toledo,1980,1653,0.466113046,10667,3.007881343,OH,61750,0.026769230769231,0.172744939271255
Toledo,.Sample,2005,0.565370028,10984,3.097269023,OH,,,
Toledo,.15% sample,NA,NA,7352,1.914249337,OH,,,
Toledo,.5% sample,NA,NA,9111,2.377398665,OH,,,
Toledo,1960,290,0.091194108,NA,NA,OH,,,
Youngstown,1990,289,0.301884427,3820,3.990306272,OH,36487,0.007920629265218,0.104694822813605
Youngstown,.Sample,297,0.31024109,3596,3.756319726,OH,,,
Youngstown,1980,252,0.218302782,3827,3.315256939,OH,38481,0.006548686364699,0.09945167745121
Youngstown,.Sample,228,0.197513752,3915,3.391519037,OH,,,
Youngstown,.15% sample,NA,NA,3639,2.604494704,OH,,,
Youngstown,.5% sample,NA,NA,3392,2.427712568,OH,,,
Youngstown,1960,116,0.069590675,NA,NA,OH,,,
Muscogee,1970,24,0.064289732,NA,NA,OK,,,
Tulsa,1970,356,0.107345962,NA,NA,OK,,,
Oklahoma City,1970,577,0.15744336,NA,NA,OK,,,
Muscogee,1990,199,0.527739472,564,1.495703829,OK,7108,0.027996623522791,0.079347214406303
Muscogee,.Sample,177,0.469396415,499,1.323326615,OK,,,
Muscogee,1980,97,0.242433331,432,1.079703082,OK,7305,0.013278576317591,0.059137577002053
Muscogee,.Sample,192,0.479868036,565,1.412111669,OK,,,
Muscogee,.15% sample,NA,NA,203,0.543783986,OK,,,
Muscogee,.5% sample,NA,NA,62,0.166081809,OK,,,
Muscogee,1960,4,-,NA,NA,OK,,,
Oklahoma City,1990,10491,2.359017717,22033,4.954364441,OK,71064,0.147627490712597,0.310044466959361
Oklahoma City,.Sample,10182,2.28947901,21148,4.755244755,OK,,,
Oklahoma City,1980,4167,1.033448822,11295,2.801248968,OK,58702,0.070985656366052,0.192412524275152
Oklahoma City,.Sample,4610,1.143231253,11767,2.918091573,OK,,,
Oklahoma City,.15% sample,NA,NA,7239,1.97379184,OK,,,
Oklahoma City,.5% sample,NA,NA,11018,3.004177164,OK,,,
Oklahoma City,1960,232,0.071549068,NA,NA,OK,,,
Tulsa,1990,5133,1.397487626,9564,2.603851871,OK,49825,0.103020572002007,0.191951831409935
Tulsa,.Sample,5183,1.411519283,9340,2.543621474,OK,,,
Tulsa,1980,2813,0.779399256,6189,1.714789191,OK,42594,0.066042165563225,0.145302155233131
Tulsa,.Sample,2962,0.820682757,6291,1.74305038,OK,,,
Tulsa,.15% sample,NA,NA,4649,1.401280413,OK,,,
Tulsa,.5% sample,NA,NA,7216,2.168419091,OK,,,
Tulsa,1960,93,-,NA,NA,OK,,,
Salem,1970,264,0.386552653,NA,NA,OR,,,
Astoria,1990,207,2.055814877,255,2.532525574,OR,34,6.08823529411765,7.5
Astoria,.Sample,175,1.738007747,300,2.979441851,OR,,,
Astoria,1980,258,2.580516103,164,1.640328066,OR,41,6.29268292682927,4
Astoria,.Sample,321,3.210642128,176,1.76035207,OR,,,
Astoria,.15% sample,NA,NA,107,1.044819842,OR,,,
Astoria,.5% sample,NA,NA,-,-,OR,,,
Astoria,1960,198,1.761722573,NA,NA,OR,,,
Eugene,1990,3896,3.457916552,3051,2.707932084,OR,1410,2.76312056737589,2.16382978723404
Eugene,.Sample,3935,3.49253122,3214,2.852603644,OR,,,
Eugene,1980,2051,1.941793532,2199,2.081913202,OR,1180,1.73813559322034,1.8635593220339
Eugene,.Sample,2542,2.406650004,2117,2.00427933,OR,,,
Eugene,.15% sample,NA,NA,886,1.160460517,OR,,,
Eugene,.5% sample,NA,NA,861,1.127716146,OR,,,
Eugene,1960,317,0.621849069,NA,NA,OR,,,
Portland,1990,23185,5.301621928,13874,3.172512514,OR,33530,0.691470325082016,0.413778705636743
Portland,.Sample,22894,5.234134587,13125,3.000699592,OR,,,
Portland,1980,10636,2.902973118,7807,2.130830306,OR,27734,0.383500396625081,0.281495637124108
Portland,.Sample,12980,3.542354055,7541,2.058004001,OR,,,
Portland,.15% sample,NA,NA,6442,1.686709764,OR,,,
Portland,.5% sample,NA,NA,3821,0.999667737,OR,,,
Portland,1960,4109,1.102566304,NA,NA,OR,,,
Salem,1990,2577,2.390848533,6588,6.112111035,OR,1632,1.57904411764706,4.03676470588235
Salem,.Sample,2634,2.443731097,6207,5.758632847,OR,,,
Salem,1980,957,1.072473188,3110,3.485257696,OR,994,0.962776659959759,3.12877263581489
Salem,.Sample,1587,1.778490021,2900,3.249918752,OR,,,
Salem,.15% sample,NA,NA,905,1.324513004,OR,,,
Salem,.5% sample,NA,NA,464,0.679395572,OR,,,
Salem,1960,106,0.215701437,NA,NA,OR,,,
Eugene,1970,728,0.953553559,NA,NA,OR,,,
Portland,1970,5164,1.34964547,NA,NA,OR,,,
Astoria,1970,145,1.41546271,NA,NA,OR,,,
Erie,1970,90,0.069642733,NA,NA,PA,,,
Scranton,1970,82,0.079178093,NA,NA,PA,,,
Reading,1970,81,0.092420387,NA,NA,PA,,,
Allentown,1970,152,0.138778566,NA,NA,PA,,,
Pittsburgh,1970,1418,0.272630966,NA,NA,PA,,,
Philadelphia,1970,6748,0.346298308,NA,NA,PA,,,
Allentown,1990,1414,1.345513369,12274,11.6795128,PA,5230,0.270363288718929,2.34684512428298
Allentown,.Sample,1522,1.448282425,11822,11.24940527,PA,,,
Allentown,1980,572,0.551282793,5330,5.136953295,PA,3254,0.175783650891211,1.6379840196681
Allentown,.Sample,726,0.699705083,5294,5.102257175,PA,,,
Allentown,.15% sample,NA,NA,1352,1.234691921,PA,,,
Allentown,.5% sample,NA,NA,1397,1.275787436,PA,,,
Allentown,1960,64,0.059069471,NA,NA,PA,,,
Erie,1990,514,0.472782796,2606,2.397027171,PA,13086,0.039278618370778,0.199144123490753
Erie,.Sample,421,0.387240383,2347,2.158796152,PA,,,
Erie,1980,397,0.333268974,1364,1.145034964,PA,11567,0.03432177747039,0.117921673726982
Erie,.Sample,442,0.371045054,1272,1.067803867,PA,,,
Erie,.15% sample,NA,NA,760,0.588289934,PA,,,
Erie,.5% sample,NA,NA,383,0.296467164,PA,,,
Erie,1960,45,-,NA,NA,PA,,,
