area,all_families,Low,Median,High
San Francisco,165342,47.1,25.8,27.1
Chinatown Core Area,1925,74.6,13.7,11.7
Chinatown Residential Area,6448,61.2,19.4,19.4
Chinatown Expanded Area,11679,53.9,22.9,23.2
