Name,F.year,Address,States,City,County,Type
Casa Latina,1967,"140 Pine St Rm 5 Florence, MA 01062-1218",MA,FLORENCE,HAMPSHIRE,CBO
Latino Lives Matter,2015,"17200 ELAINE AVE FONTANA, CA 92336 ",CA,FONTANA,SAN BERNARDINO,CBO
Mision Latina Cristiana,2005,"4050 Colonial Blvd, Fort Myers, FL 33966",FL,FORT MYERS,LEE,CBO
United Hispanic Americans,1970,"2424 Fairfield Ave, Fort Wayne, IN 46807",IN,FORT WAYNE,ALLEN,CBO
Hispanic Debutante Association Of Fort Worth,1985,"Fort Worth, TX 76101-1656",TX,FORT WORTH,TARRANT,CBO
Hispanic Wellness Coalition,1998,"3500 Camp Bowie Blvd, Ste 748, Fort Worth, TX 76107-2644",TX,FORT WORTH,TARRANT,CBO
Latino Health Insurance Program,2006,"276 Union Ave 2nd Floor Framingham, MA 01702-6318",MA,FRAMINGHAM,MIDDLESEX,CBO
Hispanic Education for Life Skills Project,2009,"32560 COLONY HILL DR FRANKLIN , MI 48025 ",MI,FRANKLIN,OAKLAND,CBO
Chicano Youth Center,1978,"1515 E Divisadero Street, Fresno, CA 93721",CA,FRESNO,FRESNO,CBO
Fresno County Hispanic Commission on Alcohol and Drug Abuse Services,1977,"1803 Broadway St, Fresno, CA 93721",CA,FRESNO,FRESNO,CBO
Fresno County League of Mexican American Women,1973,"1630 Van Ness Ave, Fresno, California 93721",CA,FRESNO,FRESNO,CBO
Hispanic Scholarship Fund,1975,"1411 W 190th St #700, Gardena, CA 90248",CA,GARDENA,LOS ANGELES,CBO
Garland Association for Hispanic Affairs,2000,,TX,GARLAND,DALLAS,CBO
Hispanic Center of Western Michigan,1978,"1204 Grandville Ave SW, Grand Rapids, MI 49503",MI,GRAND RAPIDS,KENT,CBO
Casa Alba Melanie Hispanic Community Resource Center Of the Green Bay Area,2010,"314 S Madison St Green Bay, WI 54301-4506 ",WI,GREEN BAY,BROWN,CBO
Centro de Accion Latino,1999,"4925 W Market St, Greensboro, NC 27407",NC,GREENSBORO,GUILFORD,CBO
Alliance for Collaboration with the Hispanic Community,2004,"225 S Pleasantburg Dr, Greenville, SC 29607-2544",SC,GREENVILLE,GREENVILLE,CBO
National Hispanic Voter Educational Foundation,2011,"5200 DTC Pkwy, Greenwood Village, CO 80111",CO,GREENWOOD VILLAGE,ARAPAHOE,Advocacy
Hispanic Urban Center,1970,"14606 Palm Ave, Hacienda Heights, CA 91745-1936 ",CA,HACIENDA HEIGHTS,LOS ANGELES,CBO
Southern California Latino Policy Center,2014,,CA,HACIENDA HEIGHTS,LOS ANGELES,CBO
Comunidad Latina de Washington County,2007,,MD,HAGERSTOWN,WASHINGTON,CBO
Mercer County Hispanic Association,1985,18 E 6th Ave Hamilton NJ 08619-3225,NJ,HAMILTON,MERCER,CBO
Hispanic Counseling Center,1977,"344 Fulton Ave, Hampstead, NY 11550-3923",NY,HAMPSTEAD,NASSAU,CBO
Latino Hispanic American Community Center,2010,"1319 Derry St Harrisburg, PA 17104-3433",PA,HARRISBURG,DAUPHIN,CBO
Shenandoah Valley Scholars Latino Initiative,2003,,VA,HARRISONBURG,ROCKINGHAM,CBO
Center for Latino Progress,1978,"95 Park St #2, Hartford, CT 06106",CT,HARTFORD,HARTFORD,CBO
Hispanic Health Council,1978,,CT,HARTFORD,HARTFORD,CBO
Latino Community Services,1986,"184 Wethersfield Ave, Hartford, CT 06114",CT,HARTFORD,HARTFORD,CBO
South Bay Latino Community Development Center,2002,13545 S Hawthorne Blvd Ste 201 Hawthorne CA 90250-5807,CA,HAWTHORNE,LOS ANGELES,CBO
Hispanic Community Affairs Council,1978,"Hayward, CA 94540-3151?",CA,HAYWARD,ALAMEDA,CBO
La Familia Counseling Service,1975,,CA,HAYWARD,ALAMEDA,CBO
Hempstead Hispanic Civic Association,1977,"236 Main St, Hempstead, NY 11550",NY,HEMPSTEAD,NASSAU,CBO
Latino Advocacy Coalition of Henderson County,2001,"508 N Grove St, Hendersonville, NC 28792",NC,HENDERSONVILLE,HENDERSON,Hybrid
Latino Family Center of Greater High Point,2010,"112 Gatewood Ave,High Point, North Carolina",NC,HIGH POINT,GUILFORD,CBO
Latino Leadership Project,1998,,IL,HIGHLAND PARK,LAKE,CBO
Lakeshore Latino Outreach Center,2008,"16415 James St, Holland, MI 49424",MI,HOLLAND,OTTAWA,CBO
Hispanic Unity of Florida,1982,"5840 Johnson St Hollywood, FL 33021-5636 ",FL,HOLLYWOOD,BROWARD,CBO
Mexican American Council,1982,"151 NW 11 Street Suite 400 E, Homestead, Florida 33030",FL,HOMESTEAD,MIAMI-DADE,CBO
"American Latino Center for Research, Education and Justice ",2012,,TX,HOUSTON,HARRIS,CBO
Association for The Advancement Of Mexican Americans,1970,"6001 Gulf Freeway, Bldg. E, Houston, TX 77023",TX,HOUSTON,HARRIS,CBO
Council for Latino Workplace Equity,2015,,TX,HOUSTON,HARRIS,Advocacy
Fundacion Latinoamericana de Accion Social,1994,"6666 Harwin Dr., Suite 370, Houston, TX 77036-2264",TX,HOUSTON,HARRIS,CBO
Hispanic Health Coalition,2013,"2626 S. LOOP WEST, SUITE 650R, HOUSTON, TX 77054",TX,HOUSTON,HARRIS,CBO
Hispanic Housing and Education Corporation,1991,"9950 Cpyress Dr Ste 320, Houston, TX 77070-0000",TX,HOUSTON,HARRIS,CBO
Houston Hispanic Forum,1984,"Allen Center, 500 Dallas St #2930, Houston, TX 77002",TX,HOUSTON,HARRIS,CBO
La Raza United,2011,,TX,HOUSTON,HARRIS,Advocacy
Latin Women's Initiative,1997,"112 W. 4th Street, Houston, Texas 77007",TX,HOUSTON,HARRIS,CBO
Latino Labor Leadership Council of Southeast Texas,2004,,TX,HOUSTON,HARRIS,Advocacy
Latino Learning Center,1979,"3522 Polk St Houston, TX 77003-4844",TX,HOUSTON,HARRIS,CBO
Mexican Institute of Greater Houston,1991,"4601 Caroline Street, Houston, Texas 77004",TX,HOUSTON,HARRIS,CBO
Organizacion Latina Trans in Texas,2015,,TX,HOUSTON,HARRIS,CBO
Alabama Hispanic Association,1999,,AL,HUNTSVILLE,MADISON,CBO
Hispanic Housing Services,1985,"1501 S Meridian St Indianapolis, IN 46225-1500",IN,INDIANAPOLIS,MARION,CBO
Hispanic-Latino Minority Health Coalition of Greater Indianapolis,2003,"3737 N Meridian St Ste 303 Indianapolis, IN 46208-4331",IN,INDIANAPOLIS,MARION,CBO
Indiana Latino Expo,2001,"5988 Michigan Rd Indianapolis, IN 46228-1733 ",IN,INDIANAPOLIS,MARION,CBO
Indiana Latino Institute,2001,"401 W Michigan St Suite 100 Indianapolis, IN 46202-3233",IN,INDIANAPOLIS,MARION,Hybrid
Indiana Latino Scholarship Fund,2008,"615 N Alabama St, Ste 119,Indianapolis, Indiana",IN,INDIANAPOLIS,MARION,CBO
Latino Coalition Against Domestic and Sexual Violence,2004,"300 E Fall Creek Pkwy N Drive 200 Indianapolis, IN 46205-4294 ",IN,INDIANAPOLIS,MARION,Hybrid
Riverside Cnty Latino Commisison on Alcohol and Drug Abuse Services,1993,,CA,INDIO,RIVERSIDE,CBO
Hispanic 100 Foundation,1996,"18012 Sky Park Circle, Irvine, CA 92614-6671",CA,IRVINE,ORANGE,CBO
Latino Coalition Foundation,2000,"100 Spectrum Center Drive, Irvine, CA 92618-4962",CA,IRVINE,ORANGE,Advocacy
Latino Resource Center,2002,,WY,JACKSON,TETON,CBO
National Association for The Advancement of Latino People,2014,"190 Hickory Rd Jackson, NJ 08527-3840",NJ,JACKSON,OCEAN,Hybrid
Pueblo Latino Apoyando A Losnuestros,2007,,TX,JACKSONVILLE,CHEROKEE,CBO
Hispanic Office of Planning and Evaluation,1971,"165 Brookside Avenue Extension, Jamaica Plain, MA 02130",MA,JAMAICA PLAIN,SUFFOLK,CBO
Hispanic Connection of Southern Indiana,2003,"1410 Charlestown New Albany Rd #101, Jeffersonville, IN 47130",IN,JEFFERSONVILLE,CLARK,CBO
Hispanic Latino Coalition of Will and Grundy Counties,2009,"407 IRVING ST JOLIET , IL 60432 ",IL,JOLIET,WILL,CBO
Hispanic Community Services,1997,"311 W Huntington Ave Jonesboro, AR 72401-2714",AK,JONESBORO,CRAIGHEAD,CBO
Hispanic American Council,1981,"930 Lake St # A, Kalamazoo, MI 49001",MI,KALAMAZOO,KALAMAZOO,CBO
Coalition of Hispanic Women Against Cancer,1996,"650 Minnesota Ave. Suite 114, Kansas City, KS 66101-2806",MO,KANSAS CITY,WYANDOTTE,CBO
Hispanic Development Fund,1983,"1055 BROADWAY BLVD, SUITE 130, KANSAS CITY, MO 64105",MO,KANSAS CITY,WYANDOTTE,CBO
Hispanic Economic Development Corporation,1993,"2130 Jefferson St, Kansas City, Missouri",MO,KANSAS CITY,WYANDOTTE,CBO
Cesar E Chavez Foundation,1966,"Keene, CA 93531-0062",CA,KEENE,KERN,Advocacy
Latino Center for Wellness and Education,1999,,IN,LAFAYETTE,TIPPECANOE,CBO
Latino Public Radio Consortium,2007,"709 Creekwater Terrace, Lake Mary, FL 32746",CO,LAKE MARY,ADMS,Advocacy
Hispanic Council for Reform and Educational Options,2001,"4095 SR 7, Lake Worth, FL 33449",FL,LAKE WORTH,PALM BEACH,Advocacy
Republican National Hispanic Assembly,1974,"Lakeland, FL 33807",FL,LAKELAND,POLK,Advocacy
Lansing Latino Health Alliance,2003,,MI,LANSING,INGHAM,CBO
Hispanic United Fund,1975,"1100 Larkspur Landing Circle Larkspur, CA 94939-1827",CA,LARKSPUR,MARIN,CBO
Latino Youth Leadership Foundation,2016,,NV,LAS VEGAS,SAN MIGUEL,CBO
Mexican Patriotic Committee,1980,"760 N. Eastern Ave., Las Vegas, NV 89101",NV,LAS VEGAS,CLARK,CBO
Nevada Alliance For Latino Education And Justice,2016,"1930 Village Center Cir Num 3-361 Las Vegas, NV 89134-6299 ",NV,LAS VEGAS,SAN MIGUEL,Hybrid
Dia De La Mujer Latina,1997,"3209 Dunlin Lake Rd, Lawrenceville, GA 30044",GA,LAWRENCEVILLE,GWINNETT,CBO
HoPe (Hispanic Organization Promoting Education),2009,"490 Briscoe Boulevard, Lawrenceville, GA 30046",GA,LAWRENCEVILLE,GWINNETT,CBO
Centro Latino of Caldwell County,2002,"916 West Avenue Northwest, Lenoir, NC 28202",NC,LENOIR,MECKLENBURG,CBO
National Hispanic Caucus of State Legislators,1989,"2760 Research Park Dr Lexington, KY 40511-8482 ",KY,LEXINGTON,LEXINGTON,Advocacy
Centro Contacto Latino,2003,,NC,LINCOLNTON,LINCOLN,CBO
Long Beach Latino Civic Association,1995,"52 East Park Avenue, Long Beach 11561-3504",NY,LONG BEACH,NASSAU,Advocacy
Latino Youth for Higher Education Program,2009,,NY,LONG ISLAND CITY,QUEENS,CBO
El Comite de Longmont,1980,"455 Kimbark St. Longmont,CO 80501",CO,LONGMONT,BOULDER,Hybrid
Hispanic Education Foundation,1989,,CO,LONGMONT,BOULDER,CBO
Coalition for Hispanic Issues and Progress,1990,"2955 Denve Ave Lorain, OH 44055-1452",OH,LORAIN,LORAIN,Advocacy
Bienestar,1989,"5326 E Beverly Blvd Los Angeles,  CA  90022",CA,LOS ANGELES,LOS ANGELES,Hybrid
Centro Latino for Literacy,1991,"1709 W 8th St Ste A Los Angeles, CA 90017-2147",CA,LOS ANGELES,LOS ANGELES,CBO
Chicana Service Action Center,1972,"3601 E 1st St, Los Angeles, CA 90063",CA,LOS ANGELES,LOS ANGELES,CBO
Hispanas Organized for Political Equality,1988,"634 S Spring St # 920, Los Angeles, CA 90014",CA,LOS ANGELES,LOS ANGELES,Hybrid
Instituto de Avance Integral Latino,2015,,CA,LOS ANGELES,LOS ANGELES,CBO
Latina Public Service Academy,2013,,CA,LOS ANGELES,LOS ANGELES,CBO
Latino Equality Alliance,2008,"553 S. Clarence Street, Los Angeles, CA 90033",CA,LOS ANGELES,LOS ANGELES,Advocacy
