Budget ,Amount,Year, 
CDBG,3886,Baseline,
CETA-PSE,3662,Baseline,
Social Services Block Grant,3279,Baseline,
Community Services Block Grant,586,Baseline,
CDBG,3456,Post-Reagan,
CETA-PSE,0,Post-Reagan,
Social Services Block Grant,2580,Post-Reagan,
Community Services Block Grant,348,Post-Reagan,
